market,month,year,quantity,priceMin,priceMax,priceMod
AGRA(UP),January,2016,134200,1039,1443,1349
AHMEDABAD(GUJ),January,2016,198390,646,1224,997
AHMEDNAGAR(MS),January,2016,208751,175,1722,1138
AJMER(RAJ),January,2016,4247,722,1067,939
ALIGARH(UP),January,2016,12350,1219,1298,1257
ALWAR(RAJ),January,2016,9788,625,1200,912
AMRITSAR(PB),January,2016,24800,913,1308,1160
BALLIA(UP),January,2016,600,1400,1500,1460
BANGALORE,January,2016,507223,200,1943,1448
BAREILLY(UP),January,2016,18435,1149,1149,1149
BELGAUM(KNT),January,2016,61564,485,1826,1164
BHATINDA(PB),January,2016,5510,1218,1764,1459
BHAVNAGAR(GUJ),January,2016,588870,767,1174,969
BHUBNESWER(OR),January,2016,34050,1551,1658,1619
BIJAPUR(KNT),January,2016,4110,413,1713,1088
BURDWAN(WB),January,2016,3880,1689,1789,1739
CHAKAN(MS),January,2016,41125,940,1680,1350
CHANDIGARH,January,2016,4310,800,1200,1000
CHANDVAD(MS),January,2016,108619,461,1361,1094
CHENNAI,January,2016,116700,1927,2245,2086
DEESA(GUJ),January,2016,784,900,1575,1350
DEHRADOON(UTT),January,2016,10068,808,1048,935
DELHI,January,2016,249231,467,1573,1154
DEVALA(MS),January,2016,127136,828,1321,1075
DHAVANGERE(KNT),January,2016,13170,435,1545,990
DHULIA(MS),January,2016,98405,225,1268,976
GONDAL(GUJ),January,2016,153695,292,1061,760
GUWAHATI,January,2016,3270,1641,1784,1713
HASSAN(KNT),January,2016,12211,782,1480,1255
HOSHIARPUR(PB),January,2016,40,1000,1400,1200
HUBLI(KNT),January,2016,64447,303,1879,1133
HYDERABAD,January,2016,170379,379,1789,1379
INDORE(MP),January,2016,241254,199,1231,850
JAIPUR,January,2016,37810,650,1231,943
JALANDHAR(PB),January,2016,8679,920,1350,1130
JALGAON(MS),January,2016,12460,438,1235,958
JAMMU,January,2016,21060,1200,1450,1325
JAMNAGAR(GUJ),January,2016,4229,382,1186,784
JODHPUR(RAJ),January,2016,12796,471,1406,956
KALVAN(MS),January,2016,50650,344,1320,989
KANPUR(UP),January,2016,47650,1340,1340,1340
KARNAL(HR),January,2016,11850,1190,1394,1292
KHANNA(PB),January,2016,5679,821,1243,968
KOLHAPUR(MS),January,2016,94288,487,2044,1317
KOLKATA,January,2016,227340,1564,1714,1639
KOPERGAON(MS),January,2016,27896,425,1497,1191
KOTA(RAJ),January,2016,26895,344,1156,756
KURNOOL(AP),January,2016,40041,638,1318,1059
LASALGAON(MS),January,2016,563321,677,1407,1108
LONAND(MS),January,2016,21261,650,1600,1200
LUCKNOW,January,2016,23410,1320,1454,1393
MAHUVA(GUJ),January,2016,946692,674,1178,933
MALEGAON(MS),January,2016,227480,652,1319,1017
MANMAD(MS),January,2016,260918,550,1299,1057
MUMBAI,January,2016,413681,654,1473,1215
NAGPUR,January,2016,98645,954,1367,1260
NEWASA(MS),January,2016,296461,250,1758,1458
NIPHAD(MS),January,2016,33110,505,1108,958
PALAYAM(KER),January,2016,8100,1835,2106,1994
PATIALA(PB),January,2016,1445,1000,1575,1300
PATNA,January,2016,29200,1440,1548,1497
PHALTAN (MS),January,2016,2662,433,1684,1117
PIMPALGAON(MS),January,2016,506740,403,1448,1004
PUNE(MS),January,2016,325669,613,1729,1488
PURULIA(WB),January,2016,1200,1640,1900,1800
RAHATA(MS),January,2016,149286,427,1986,1223
RAHURI(MS),January,2016,56957,200,1675,1038
RAICHUR(KNT),January,2016,17795,987,1590,1331
RAIPUR(CHGARH),January,2016,4300,1193,1371,1299
RAJKOT(GUJ),January,2016,80400,389,980,783
SAGAR(MP),January,2016,1954,792,1000,892
SAIKHEDA(MS),January,2016,106742,375,1260,898
SANGALI(MS),January,2016,16104,413,2125,1231
SANGAMNER(MS),January,2016,117471,500,1853,1312
SATANA(MS),January,2016,69286,429,1354,957
SHRIRAMPUR(MS),January,2016,23497,271,1786,1350
SINNAR(MS),January,2016,73933,160,1363,988
SOLAPUR(MS),January,2016,403797,124,2285,958
SURAT(GUJ),January,2016,31700,943,1562,1252
UDAIPUR(RAJ),January,2016,6456,386,1307,846
VANI(MS),January,2016,60983,767,1323,1007
VARANASI(UP),January,2016,28900,1460,1503,1484
YEOLA(MS),January,2016,437432,437,1272,1034
,,Total,9307923,751(Avg),1490(Avg),1186(Avg)
